Month,Timestamp,Source IP,Target Asset,Attack Type,Bandwidth (Gbps),Duration (min),Status
November,2025-01-02 04:56:00,213.218.210.107,Web-Gateway-1,UDP Flood,18.43,5,Mitigated
November,2025-01-19 11:41:00,187.70.190.66,Web-Gateway-5,SYN Flood,31.62,5,Mitigated
November,2025-01-10 17:23:00,59.156.169.219,Web-Gateway-3,UDP Flood,24.38,5,Mitigated
November,2025-01-28 04:21:00,206.252.160.241,Web-Gateway-4,UDP Flood,37.96,4,Mitigated
November,2025-01-08 14:18:00,36.127.102.49,Web-Gateway-5,UDP Flood,23.36,10,Partial
November,2025-01-15 01:31:00,106.222.142.91,Web-Gateway-1,SYN Flood,18.91,9,Partial
November,2025-01-02 13:19:00,136.223.71.92,Web-Gateway-5,UDP Flood,24.18,5,Mitigated
November,2025-01-23 01:29:00,187.50.69.64,Web-Gateway-1,UDP Flood,25.1,9,Partial
November,2025-01-07 16:03:00,144.91.121.246,Web-Gateway-3,SYN Flood,27.13,6,Mitigated
November,2025-01-02 10:56:00,167.146.73.162,Web-Gateway-2,SYN Flood,25.26,5,Mitigated
November,2025-01-06 22:19:00,235.251.84.55,Web-Gateway-1,UDP Flood,25.33,7,Partial
November,2025-01-19 19:37:00,6.130.134.192,Web-Gateway-4,SYN Flood,33.15,4,Mitigated
November,2025-01-13 14:07:00,151.141.199.250,Web-Gateway-4,UDP Flood,39.61,8,Partial
November,2025-01-01 18:18:00,45.183.84.253,Web-Gateway-4,UDP Flood,34.67,3,Mitigated
November,2025-01-13 12:27:00,148.140.162.223,Web-Gateway-3,UDP Flood,30.27,3,Mitigated
November,2025-01-13 15:09:00,99.161.161.31,Web-Gateway-4,SYN Flood,19.63,10,Partial
November,2025-01-24 16:22:00,76.127.65.133,Web-Gateway-2,UDP Flood,30.29,4,Mitigated
November,2025-01-11 04:12:00,148.200.245.67,Web-Gateway-1,SYN Flood,25.36,4,Mitigated
November,2025-01-23 21:08:00,174.226.59.252,Web-Gateway-5,SYN Flood,16.35,5,Mitigated
November,2025-01-14 06:18:00,233.37.94.147,Web-Gateway-2,SYN Flood,28.26,7,Partial
November,2025-01-18 19:19:00,122.246.95.35,Web-Gateway-3,SYN Flood,29.75,5,Mitigated
November,2025-01-24 06:29:00,101.183.6.200,Web-Gateway-5,UDP Flood,39.61,8,Partial
November,2025-01-01 15:43:00,76.136.12.245,Web-Gateway-3,SYN Flood,24.45,4,Mitigated
November,2025-01-15 00:39:00,178.129.66.246,Web-Gateway-2,SYN Flood,23.64,4,Mitigated
November,2025-01-10 13:17:00,147.118.229.198,Web-Gateway-3,UDP Flood,26.37,11,Partial
November,2025-01-16 17:28:00,197.20.4.227,Web-Gateway-4,UDP Flood,32.76,1,Mitigated
November,2025-01-04 01:51:00,173.55.179.117,Web-Gateway-4,SYN Flood,25.3,8,Partial
November,2025-01-25 22:56:00,227.200.152.56,Web-Gateway-5,UDP Flood,28.19,10,Partial
November,2025-01-08 02:25:00,83.138.185.11,Web-Gateway-4,SYN Flood,32.6,9,Partial
November,2025-01-22 09:43:00,188.99.144.28,Web-Gateway-2,UDP Flood,30.69,7,Partial
November,2025-01-05 03:19:00,131.74.97.168,Web-Gateway-4,SYN Flood,26.66,5,Mitigated
November,2025-01-05 07:07:00,108.166.217.20,Web-Gateway-1,SYN Flood,27.41,9,Partial
November,2025-01-22 11:51:00,48.127.237.145,Web-Gateway-4,SYN Flood,38.33,6,Mitigated
November,2025-01-19 15:06:00,201.117.42.14,Web-Gateway-1,SYN Flood,28.81,9,Partial
November,2025-01-10 02:33:00,238.62.43.193,Web-Gateway-2,SYN Flood,29.35,4,Mitigated
November,2025-01-07 14:47:00,95.218.200.219,Web-Gateway-1,UDP Flood,27.6,3,Mitigated
November,2025-01-14 06:35:00,67.28.19.59,Web-Gateway-3,SYN Flood,27.44,7,Partial
November,2025-01-26 03:38:00,137.94.36.48,Web-Gateway-5,SYN Flood,35.87,6,Mitigated
November,2025-01-20 10:02:00,208.221.181.152,Web-Gateway-4,SYN Flood,19.57,7,Partial
November,2025-01-22 11:45:00,213.219.178.7,Web-Gateway-5,UDP Flood,20.43,7,Partial
November,2025-01-24 03:21:00,221.103.43.209,Web-Gateway-4,SYN Flood,22.13,3,Mitigated
November,2025-01-24 12:15:00,226.121.220.135,Web-Gateway-3,SYN Flood,24.29,5,Mitigated
November,2025-01-01 11:54:00,218.230.138.237,Web-Gateway-4,SYN Flood,26.02,6,Mitigated
November,2025-01-12 02:22:00,212.194.180.100,Web-Gateway-4,UDP Flood,31.0,5,Mitigated
November,2025-01-20 12:56:00,29.178.224.21,Web-Gateway-1,UDP Flood,36.79,5,Mitigated
November,2025-01-08 18:56:00,114.118.9.197,Web-Gateway-1,UDP Flood,32.66,5,Mitigated
November,2025-01-06 02:38:00,2.71.22.100,Web-Gateway-2,SYN Flood,23.59,3,Mitigated
November,2025-01-25 23:16:00,85.51.241.154,Web-Gateway-5,UDP Flood,29.29,5,Mitigated
November,2025-01-20 17:19:00,74.46.59.238,Web-Gateway-5,SYN Flood,26.39,4,Mitigated
November,2025-01-02 11:02:00,62.25.101.143,Web-Gateway-2,UDP Flood,22.13,7,Partial
November,2025-01-18 09:48:00,87.108.102.45,Web-Gateway-4,SYN Flood,28.84,9,Partial
November,2025-01-23 13:33:00,51.53.121.135,Web-Gateway-5,UDP Flood,21.26,5,Mitigated
